,Latein,Black List / Watch List 2014,Ordonnonce sur la dissémination des organismes (ODE),threats,places,habitat,slug
26,Prunus serotina Ehrh.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '2']]","[['Jura', '1'], ['Plateau', '1']]","['5 Landes, lisières et mégaphorbiaies', '6 Forêts']",prunusserotina
27,Pueraria lobata (Willd.) Ohwi,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]",[],"['5 Landes, lisières et mégaphorbiaies', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",puerarialobata
28,Reynoutria japonica Houtt.,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '3'], ['Plateau', '3']]","['2 Rivages et lieu humides', '5 Landes, lisières et mégaphorbiaies', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",reynoutriajaponica
29,Reynoutria sachalinensis (F. Schmidt) Nakai,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '2'], ['Plateau', '2']]","['2 Rivages et lieu humides', '5 Landes, lisières et mégaphorbiaies', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",reynoutriasachalinensis
30,Reynoutria ×bohemica Chrtek & Chrtková,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '2'], ['Plateau', '2']]","['2 Rivages et lieu humides', '5 Landes, lisières et mégaphorbiaies', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",reynoutria×bohemica
31,Rhus typhina L.,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '3'], ['Plateau', '3']]","['6 Forêts', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",rhustyphina
32,Robinia pseudoacacia L.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '3'], ['Plateau', '3']]","['4 Pelouses et prairies', '6 Forêts', '7 Végétations pionnières des endroits perturbés']",robiniapseudoacacia
33,Rubus armeniacus Focke,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '3'], ['Plateau', '3']]","['5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",rubusarmeniacus
34,Senecio inaequidens DC.,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '2']]","[['Jura', '2'], ['Plateau', '3']]","['4 Pelouses et prairies', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",senecioinaequidens
35,Sicyos angulatus L.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['non établi en Suisse', '1']]","['5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés']",sicyosangulatus
36,Solanum carolinense L.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '1']]","[['non établi en Suisse', '1']]","['4 Pelouses et prairies', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",solanumcarolinense
37,Solidago canadensis L.,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '3'], ['Plateau', '3']]","['2 Rivages et lieu humides', '4 Pelouses et prairies', '5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",solidagocanadensis
38,Solidago gigantea Aiton,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '3'], ['Plateau', '3']]","['2 Rivages et lieu humides', '4 Pelouses et prairies', '5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",solidagogigantea
39,Solidago nemoralis Aiton,BL,ODE,"[[""Potentiel d'expansion"", '1'], ['écologie, biodiversité', '3']]","[['non établi en Suisse', '1']]","['2 Rivages et lieu humides', '4 Pelouses et prairies', '5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",solidagonemoralis
40,Toxicodendron radicans (L.) Kuntze,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '0']]","[['non établi en Suisse', '1']]","['5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés']",toxicodendronradicans
41,Trachycarpus fortunei (Hook.) H. Wendl.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Plateau', '1']]","['5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",trachycarpusfortunei
42,Acacia dealbata Link,WL,-,"[[""Potentiel d'expansion"", '2'], ['écologie, biodiversité', '3']]",[],"['6 Forêts', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",acaciadealbata
43,"Aster novi-belgii aggr. (A. lanceolatus, A. novi-belgii, A. x salignus, A. tradescantii, A. x versicolor)",WL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '2']]","[['Jura', '2'], ['Plateau', '2']]","['4 Pelouses et prairies', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",asternovi-belgii
44,Bassia scoparia (L.) A. J. Scott,WL,-,"[[""Potentiel d'expansion"", '2'], ['écologie, biodiversité', '1']]","[['Jura', '1'], ['Plateau', '1']]","['7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",bassiascoparia
45,Cornus sericea L.,WL,-,"[[""Potentiel d'expansion"", '2'], ['écologie, biodiversité', '3']]","[['Jura', '1'], ['Plateau', '2']]","['6 Forêts', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",cornussericea
46,Galega officinalis L.,WL,-,"[[""Potentiel d'expansion"", '1'], ['écologie, biodiversité', '1']]","[['Jura', '1'], ['Plateau', '2']]","['4 Pelouses et prairies', '5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés']",galegaofficinalis
47,Helianthus tuberosus L.,WL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '2']]","[['Jura', '1'], ['Plateau', '2']]","['5 Landes, lisières et mégaphorbiaies', '7 Végétations pionnières des endroits perturbés']",helianthustuberosus
48,Impatiens balfourii Hook. f.,WL,-,"[[""Potentiel d'expansion"", '2'], ['écologie, biodiversité', '2']]","[['Jura', '1'], ['Plateau', '2']]","['2 Rivages et lieu humides', '5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",impatiensbalfourii
49,Lysichiton americanus Hultén & H. St. John,WL,-,"[[""Potentiel d'expansion"", '2'], ['écologie, biodiversité', '2']]","[['Plateau', '1']]",['2 Rivages et lieu humides'],lysichitonamericanus
50,Opuntia humifusa (Raf.) Raf.,WL,-,"[[""Potentiel d'expansion"", '2'], ['écologie, biodiversité', '2']]","[['Plateau', '1']]","['4 Pelouses et prairies', '5 Landes, lisières et mégaphorbiaies', '7 Végétations pionnières des endroits perturbés']",opuntiahumifusa
51,Parthenocissus inserta (A. Kern.) Fritsch (+ P. quinquefolia*),WL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '1']]","[['Jura', '1'], ['Plateau', '2']]","['5 Landes, lisières et mégaphorbiaies', '6 Forêts', '9 Milieux construits']",parthenocissusinserta
52,Paulownia tomentosa (Thunb.) Steud.,WL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '2']]","[['Jura', '1'], ['Plateau', '2']]","['7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",paulowniatomentosa
53,Phytolacca americana L.,WL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '2']]","[['Jura', '1'], ['Plateau', '1']]","['5 Landes, lisières et mégaphorbiaies', '7 Végétations pionnières des endroits perturbés']",phytolaccaamericana
