,ID_ISFS,FAMILY,GENUS,Scientific name,CH,crit_CH,JU,crit_JU,MP,crit_MP
0,100,Pinaceae,Abies,Abies alba,LC,,LC,,LC,
1,300,Sapindaceae,Acer,Acer campestre,LC,,LC,,LC,
2,600,Sapindaceae,Acer,Acer opalus,LC,,LC,,NT,['C']
3,700,Sapindaceae,Acer,Acer platanoides,LC,,LC,,LC,
4,800,Sapindaceae,Acer,Acer pseudoplatanus,LC,,LC,,LC,
5,900,Orchidaceae,Aceras,Aceras anthropophorum,NT,['B'],NT,"['A', 'B']",VU,"['A', 'B']"
6,1000,Asteraceae,Achillea,Achillea atrata,LC,,-,,-,
7,1100,Asteraceae,Achillea,Achillea clavenae,VU,['C'],-,,-,
8,1200,Asteraceae,Achillea,Achillea collina,VU,['A'],-,,DD,
9,1500,Asteraceae,Achillea,Achillea erba-rotta subsp. moschata,LC,,-,,-,
10,1600,Asteraceae,Achillea,Achillea macrophylla,LC,,-,,-,
11,1700,Asteraceae,Achillea,Achillea millefolium,LC,,LC,,LC,
12,1706,Asteraceae,Achillea,Achillea millefolium aggr.,LC,,LC,,LC,
13,1900,Asteraceae,Achillea,Achillea nana,LC,,-,,-,
14,2000,Asteraceae,Achillea,Achillea nobilis,NT,['B'],EN,['C'],EN,['C']
15,2150,Asteraceae,Achillea,Achillea pratensis,DD,,NE,,NE,
16,2200,Asteraceae,Achillea,Achillea ptarmica,VU,['A'],VU,['A'],VU,['A']
17,2300,Asteraceae,Achillea,Achillea roseoalba,LC,,-,,,
18,2400,Asteraceae,Achillea,Achillea setacea,LC,,-,,-,
19,2500,Asteraceae,Achillea,Achillea stricta,NT,['B'],-,,-,
20,2600,Asteraceae,Achillea,Achillea tomentosa,NT,"['B', 'B']",-,,-,
21,2700,Poaceae,Achnatherum,Achnatherum calamagrostis,LC,,NT,['B'],LC,
22,2800,Lamiaceae,Acinos,Acinos alpinus,LC,,LC,,-,
23,2900,Lamiaceae,Acinos,Acinos arvensis,LC,,LC,,LC,
24,3100,Ranunculaceae,Aconitum,Aconitum anthora,VU,['D'],VU,['D'],-,
25,3510,Ranunculaceae,Aconitum,Aconitum lycoctonum,LC,,LC,,LC,
26,3520,Ranunculaceae,Aconitum,Aconitum lycoctonum subsp. neapolitanum,LC,,LC,,LC,
27,3530,Ranunculaceae,Aconitum,Aconitum lycoctonum subsp. vulparia,LC,,LC,,NT,['B']
28,3540,Ranunculaceae,Aconitum,Aconitum napellus,LC,,LC,,NT,['C']
29,3560,Ranunculaceae,Aconitum,Aconitum napellus subsp. lusitanicum,LC,,LC,,VU,['C']
30,3570,Ranunculaceae,Aconitum,Aconitum napellus subsp. tauricum,VU,['D'],-,,-,
31,3580,Ranunculaceae,Aconitum,Aconitum napellus subsp. vulgare,LC,,LC,,NT,['D']
32,4390,Ranunculaceae,Aconitum,Aconitum variegatum,LC,,-,,-,
33,4600,Ranunculaceae,Aconitum,Aconitum variegatum subsp. paniculatum,LC,,-,,-,
34,4700,Ranunculaceae,Aconitum,Aconitum variegatum subsp. rostratum,NT,['C'],-,,-,
35,4800,Ranunculaceae,Aconitum,Aconitum variegatum subsp. valesiacum,LC,,-,,-,
36,4400,Ranunculaceae,Aconitum,Aconitum variegatum subsp. variegatum,VU,['D'],-,,-,
37,5200,Ranunculaceae,Actaea,Actaea spicata,LC,,LC,,LC,
38,5300,Campanulaceae,Adenophora,Adenophora liliifolia,CR,['D'],-,,-,
39,5400,Asteraceae,Adenostyles,Adenostyles alliariae,LC,,LC,,NT,['C']
40,5450,Asteraceae,Adenostyles,Adenostyles alpina,LC,,LC,,NT,['C']
41,5600,Asteraceae,Adenostyles,Adenostyles leucophylla,LC,,-,,-,
42,5700,Pteridaceae,Adiantum,Adiantum capillus-veneris,VU,['C'],EN,['C'],CR(PE),
43,5800,Ranunculaceae,Adonis,Adonis aestivalis,VU,"['A', 'B']",CR,"['A', 'B']",CR,"['A', 'B']"
44,6100,Ranunculaceae,Adonis,Adonis flammea,EN,"['A', 'B', ' B2ab(ii,iii)']",CR,['A'],CR,['A']
45,6200,Ranunculaceae,Adonis,Adonis vernalis,VU,"['B', 'B', ' D2']",-,,-,
46,6300,Adoxaceae,Adoxa,Adoxa moschatellina,LC,,LC,,LC,
47,6800,Apiaceae,Aegopodium,Aegopodium podagraria,LC,,LC,,LC,
48,7000,Brassicaceae,Aethionema,Aethionema saxatile,VU,"['B', 'C']",-,,,
49,7150,Apiaceae,Aethusa,Aethusa cynapioides,NT,['C'],NT,['B'],NT,['B']
50,7200,Apiaceae,Aethusa,Aethusa cynapium,LC,,LC,,LC,
51,7400,Rosaceae,Agrimonia,Agrimonia eupatoria,LC,,LC,,LC,
52,7600,Rosaceae,Agrimonia,Agrimonia procera,VU,['A'],EN,"['A', 'B']",EN,"['A', 'B']"
53,8200,Caryophyllaceae,Agrostemma,Agrostemma githago,EN,"['A', 'B']",DD,,DD,
54,8400,Poaceae,Agrostis,Agrostis alpina,LC,,DD,,-,
55,8500,Poaceae,Agrostis,Agrostis canina,NT,['B'],NT,"['A', 'B']",NT,"['A', 'B']"
56,8600,Poaceae,Agrostis,Agrostis capillaris,LC,,LC,,LC,
57,8700,Poaceae,Agrostis,Agrostis gigantea,LC,,LC,,LC,
58,8900,Poaceae,Agrostis,Agrostis rupestris,LC,,-,,-,
59,9000,Poaceae,Agrostis,Agrostis schleicheri,LC,,-,,-,
60,9100,Poaceae,Agrostis,Agrostis schraderiana,LC,,-,,LC,
61,9300,Poaceae,Agrostis,Agrostis stolonifera,LC,,LC,,LC,
62,9450,Poaceae,Agrostis,Agrostis vinealis,DD,,NE,,NE,
63,9700,Poaceae,Aira,Aira caryophyllea,VU,['A'],RE,,CR,['A']
64,9900,Poaceae,Aira,Aira elegantissima,EN,['B'],-,,-,
65,10000,Poaceae,Aira,Aira praecox,CR(PE),,-,,-,
66,10100,Lamiaceae,Ajuga,Ajuga chamaepitys,VU,"['A', 'B']",EN,['A'],EN,['A']
67,10200,Lamiaceae,Ajuga,Ajuga genevensis,LC,,LC,,LC,
68,10300,Lamiaceae,Ajuga,Ajuga pyramidalis,LC,,-,,-,
69,10400,Lamiaceae,Ajuga,Ajuga reptans,LC,,LC,,LC,
70,10600,Rosaceae,Alchemilla,Alchemilla acuminatidens,DD,,NE,,NE,
71,10790,Rosaceae,Alchemilla,Alchemilla acutiloba,LC,,NE,,NE,
72,10900,Rosaceae,Alchemilla,Alchemilla aggregata,LC,,NE,,NE,
73,10950,Rosaceae,Alchemilla,Alchemilla alpigena,LC,,NE,,NE,
74,10990,Rosaceae,Alchemilla,Alchemilla alpina,LC,,NE,,NE,
75,11200,Rosaceae,Alchemilla,Alchemilla alpina aggr.,LC,,NE,,NE,
76,11300,Rosaceae,Alchemilla,Alchemilla amphisericea,LC,,NE,,NE,
77,11450,Rosaceae,Alchemilla,Alchemilla argentidens,LC,,NE,,NE,
78,11600,Rosaceae,Alchemilla,Alchemilla atrovirens,DD,,NE,,NE,
79,11690,Rosaceae,Alchemilla,Alchemilla chirophylla,LC,,NE,,NE,
80,11800,Rosaceae,Alchemilla,Alchemilla colorata,LC,,NE,,NE,
81,11850,Rosaceae,Alchemilla,Alchemilla compta,LC,,NE,,NE,
82,11900,Rosaceae,Alchemilla,Alchemilla conjuncta,DD,,NE,,NE,
83,12000,Rosaceae,Alchemilla,Alchemilla conjuncta aggr.,LC,,NE,,NE,
84,12190,Rosaceae,Alchemilla,Alchemilla connivens,LC,,NE,,NE,
85,12300,Rosaceae,Alchemilla,Alchemilla controversa,DD,,NE,,NE,
86,12400,Rosaceae,Alchemilla,Alchemilla coriacea,LC,,NE,,NE,
87,12500,Rosaceae,Alchemilla,Alchemilla coriacea aggr.,LC,,NE,,NE,
88,12700,Rosaceae,Alchemilla,Alchemilla crinita,LC,,NE,,NE,
89,12900,Rosaceae,Alchemilla,Alchemilla curtiloba,LC,,NE,,NE,
90,12990,Rosaceae,Alchemilla,Alchemilla decumbens,LC,,NE,,NE,
91,13100,Rosaceae,Alchemilla,Alchemilla decumbens aggr.,LC,,NE,,NE,
92,13200,Rosaceae,Alchemilla,Alchemilla demissa,LC,,NE,,NE,
93,13300,Rosaceae,Alchemilla,Alchemilla demissa aggr.,LC,,NE,,NE,
94,13400,Rosaceae,Alchemilla,Alchemilla effusa,LC,,NE,,NE,
95,13500,Rosaceae,Alchemilla,Alchemilla exigua,LC,,NE,,NE,
96,13600,Rosaceae,Alchemilla,Alchemilla fallax,LC,,NE,,NE,
97,13690,Rosaceae,Alchemilla,Alchemilla filicaulis,LC,,NE,,NE,
98,13750,Rosaceae,Alchemilla,Alchemilla firma,DD,,NE,,NE,
99,13890,Rosaceae,Alchemilla,Alchemilla fissa,LC,,NE,,NE,
100,14000,Rosaceae,Alchemilla,Alchemilla fissa aggr.,LC,,NE,,NE,
101,14100,Rosaceae,Alchemilla,Alchemilla fissimima,DD,,NE,,NE,
102,14200,Rosaceae,Alchemilla,Alchemilla flabellata,LC,,NE,,NE,
103,14300,Rosaceae,Alchemilla,Alchemilla flavicoma,LC,,NE,,NE,
104,14400,Rosaceae,Alchemilla,Alchemilla flavovirens,DD,,NE,,NE,
105,14500,Rosaceae,Alchemilla,Alchemilla flexicaulis,LC,,NE,,NE,
106,14700,Rosaceae,Alchemilla,Alchemilla frigens,LC,,NE,,NE,
107,14800,Rosaceae,Alchemilla,Alchemilla gaillardiana,DD,,NE,,NE,
108,14830,Rosaceae,Alchemilla,Alchemilla galkinae,LC,,NE,,NE,
109,14860,Rosaceae,Alchemilla,Alchemilla gemmia,LC,,NE,,NE,
110,14890,Rosaceae,Alchemilla,Alchemilla gingolphiana,DD,,NE,,NE,
111,14895,Rosaceae,Alchemilla,Alchemilla glabra,LC,,NE,,NE,
112,15000,Rosaceae,Alchemilla,Alchemilla glabra aggr.,LC,,NE,,NE,
113,15100,Rosaceae,Alchemilla,Alchemilla glacialis,LC,,NE,,NE,
114,15150,Rosaceae,Alchemilla,Alchemilla glaucescens,LC,,NE,,NE,
115,15200,Rosaceae,Alchemilla,Alchemilla glomerulans,LC,,NE,,NE,
116,15290,Rosaceae,Alchemilla,Alchemilla grossidens,LC,,NE,,NE,
117,15400,Rosaceae,Alchemilla,Alchemilla grossidens aggr.,LC,,NE,,NE,
118,15500,Rosaceae,Alchemilla,Alchemilla helvetica,LC,,NE,,NE,
119,15600,Rosaceae,Alchemilla,Alchemilla helvetica aggr.,LC,,NE,,NE,
120,15690,Rosaceae,Alchemilla,Alchemilla heteropoda,LC,,NE,,NE,
121,15800,Rosaceae,Alchemilla,Alchemilla heteropoda aggr.,LC,,NE,,NE,
122,15900,Rosaceae,Alchemilla,Alchemilla hirtipes,DD,,NE,,NE,
123,15950,Rosaceae,Alchemilla,Alchemilla hoppeana,LC,,NE,,NE,
124,15980,Rosaceae,Alchemilla,Alchemilla hybrida,LC,,NE,,NE,
125,16000,Rosaceae,Alchemilla,Alchemilla hybrida aggr.,LC,,NE,,NE,
126,16200,Rosaceae,Alchemilla,Alchemilla impexa,LC,,NE,,NE,
127,16300,Rosaceae,Alchemilla,Alchemilla incisa,LC,,NE,,NE,
128,16400,Rosaceae,Alchemilla,Alchemilla inconcinna,LC,,NE,,NE,
129,16450,Rosaceae,Alchemilla,Alchemilla infravallesia,LC,,NE,,NE,
130,16500,Rosaceae,Alchemilla,Alchemilla jaquetiana,DD,,NE,,NE,
131,16550,Rosaceae,Alchemilla,Alchemilla jugensis,LC,,NE,,NE,
132,16600,Rosaceae,Alchemilla,Alchemilla leptoclada,LC,,NE,,NE,
133,16700,Rosaceae,Alchemilla,Alchemilla lineata,LC,,NE,,NE,
134,16800,Rosaceae,Alchemilla,Alchemilla longana,LC,,NE,,NE,
135,16850,Rosaceae,Alchemilla,Alchemilla longinodis,DD,,NE,,NE,
136,16900,Rosaceae,Alchemilla,Alchemilla longiuscula,LC,,NE,,NE,
137,16930,Rosaceae,Alchemilla,Alchemilla lunaria,LC,,NE,,NE,
138,16960,Rosaceae,Alchemilla,Alchemilla micans,LC,,NE,,NE,
139,17300,Rosaceae,Alchemilla,Alchemilla monticola,DD,,NE,,NE,
140,17400,Rosaceae,Alchemilla,Alchemilla multidens,LC,,NE,,NE,
141,17500,Rosaceae,Alchemilla,Alchemilla nitida,LC,,NE,,NE,
142,17600,Rosaceae,Alchemilla,Alchemilla obscura,LC,,NE,,NE,
143,17700,Rosaceae,Alchemilla,Alchemilla obtusa,LC,,NE,,NE,
144,17800,Rosaceae,Alchemilla,Alchemilla opaca,LC,,NE,,NE,
145,17850,Rosaceae,Alchemilla,Alchemilla oscensis,LC,,NE,,NE,
146,17900,Rosaceae,Alchemilla,Alchemilla othmarii,LC,,NE,,NE,
147,17950,Rosaceae,Alchemilla,Alchemilla paicheana,LC,,NE,,NE,
148,17990,Rosaceae,Alchemilla,Alchemilla pallens,LC,,NE,,NE,
149,18100,Rosaceae,Alchemilla,Alchemilla pentaphyllea,LC,,-,,-,
150,18130,Rosaceae,Alchemilla,Alchemilla pentaphylloides,LC,,NE,,NE,
151,18150,Rosaceae,Alchemilla,Alchemilla pentaphylloides aggr.,LC,,NE,,NE,
152,18200,Rosaceae,Alchemilla,Alchemilla petiolulans,LC,,NE,,NE,
153,18300,Rosaceae,Alchemilla,Alchemilla plicata,LC,,NE,,NE,
154,18500,Rosaceae,Alchemilla,Alchemilla plicatula aggr.,LC,,NE,,NE,
155,18560,Rosaceae,Alchemilla,Alchemilla pseudodecumbens,LC,,NE,,NE,
156,18590,Rosaceae,Alchemilla,Alchemilla psilopodia,LC,,NE,,NE,
157,18700,Rosaceae,Alchemilla,Alchemilla racemulosa,LC,,NE,,NE,
158,18750,Rosaceae,Alchemilla,Alchemilla radiisecta,DD,,NE,,NE,
159,18800,Rosaceae,Alchemilla,Alchemilla reniformis,LC,,NE,,NE,
160,18900,Rosaceae,Alchemilla,Alchemilla rhododendrophila,LC,,NE,,NE,
161,18950,Rosaceae,Alchemilla,Alchemilla rubristipula,LC,,NE,,NE,
162,19000,Rosaceae,Alchemilla,Alchemilla saxatilis,LC,,NE,,NE,
163,19100,Rosaceae,Alchemilla,Alchemilla saxetana,LC,,NE,,NE,
164,19200,Rosaceae,Alchemilla,Alchemilla schmidelyana,LC,,NE,,NE,
165,19350,Rosaceae,Alchemilla,Alchemilla semihirta,DD,,NE,,NE,
166,19400,Rosaceae,Alchemilla,Alchemilla semisecta,LC,,NE,,NE,
167,19490,Rosaceae,Alchemilla,Alchemilla sericoneura,LC,,NE,,NE,
168,19600,Rosaceae,Alchemilla,Alchemilla sinuata,LC,,NE,,NE,
169,19790,Rosaceae,Alchemilla,Alchemilla splendens,LC,,NE,,NE,
170,19900,Rosaceae,Alchemilla,Alchemilla splendens aggr.,LC,,NE,,NE,
171,19850,Rosaceae,Alchemilla,Alchemilla squarrosula,DD,,NE,,NE,
172,20000,Rosaceae,Alchemilla,Alchemilla straminea,LC,,NE,,NE,
173,20100,Rosaceae,Alchemilla,Alchemilla strigosula,LC,,NE,,NE,
174,20200,Rosaceae,Alchemilla,Alchemilla subcrenata,LC,,NE,,NE,
175,20250,Rosaceae,Alchemilla,Alchemilla subglobosa,LC,,NE,,NE,
176,20300,Rosaceae,Alchemilla,Alchemilla subsericea,LC,,NE,,NE,
177,20400,Rosaceae,Alchemilla,Alchemilla subsericea aggr.,LC,,NE,,NE,
178,20490,Rosaceae,Alchemilla,Alchemilla tenuis,LC,,NE,,NE,
179,20530,Rosaceae,Alchemilla,Alchemilla tirolensis,LC,,NE,,NE,
180,20550,Rosaceae,Alchemilla,Alchemilla transiens,DD,,NE,,NE,
181,20580,Rosaceae,Alchemilla,Alchemilla trullata,LC,,NE,,NE,
182,20600,Rosaceae,Alchemilla,Alchemilla trunciloba,LC,,NE,,NE,
183,20700,Rosaceae,Alchemilla,Alchemilla undulata,LC,,NE,,NE,
184,20900,Rosaceae,Alchemilla,Alchemilla versipila,LC,,NE,,NE,
185,21100,Rosaceae,Alchemilla,Alchemilla vulgaris aggr.,LC,,NE,,NE,
186,21230,Rosaceae,Alchemilla,Alchemilla weberi,LC,,NE,,NE,
187,21260,Rosaceae,Alchemilla,Alchemilla westermaieri,DD,,NE,,NE,
188,21300,Rosaceae,Alchemilla,Alchemilla xanthochlora,LC,,NE,,NE,
189,21600,Droseraceae,Aldrovanda,Aldrovanda vesiculosa,EN,['D'],RE,,EN,['D']
190,21700,Alismataceae,Alisma,Alisma gramineum,EN,['B'],EN,['B'],EN,['B']
191,21800,Alismataceae,Alisma,Alisma lanceolatum,EN,['B'],EN,['B'],EN,['B']
192,21900,Alismataceae,Alisma,Alisma plantago-aquatica,LC,,LC,,LC,
193,22100,Brassicaceae,Alliaria,Alliaria petiolata,LC,,LC,,LC,
194,22200,Amaryllidaceae,Allium,Allium angulosum,VU,['A'],VU,['A'],VU,['A']
195,22350,Amaryllidaceae,Allium,Allium carinatum,NT,['B'],VU,['B'],VU,['B']
196,22400,Amaryllidaceae,Allium,Allium carinatum subsp. carinatum,NT,['B'],VU,['C'],VU,['B']
197,22500,Amaryllidaceae,Allium,Allium carinatum subsp. pulchellum,VU,['B'],VU,['B'],VU,['B']
198,23000,Amaryllidaceae,Allium,Allium lineare,VU,"['B', 'C']",-,,-,
199,23100,Amaryllidaceae,Allium,Allium lusitanicum,LC,,VU,['B'],CR,['B']
200,23600,Amaryllidaceae,Allium,Allium oleraceum,LC,,LC,,LC,
201,24000,Amaryllidaceae,Allium,Allium rotundum,CR,['C'],CR,['C'],CR,['C']
202,24200,Amaryllidaceae,Allium,Allium schoenoprasum,LC,,LC,,LC,
203,24300,Amaryllidaceae,Allium,Allium scorodoprasum,NT,['B'],VU,"['A', 'B']",NT,"['A', 'B']"
204,24500,Amaryllidaceae,Allium,Allium sphaerocephalon,LC,,NT,['A'],EN,['C']
205,24700,Amaryllidaceae,Allium,Allium suaveolens,EN,['B'],-,,EN,['B']
206,24800,Amaryllidaceae,Allium,Allium ursinum,LC,,LC,,LC,
207,24900,Amaryllidaceae,Allium,Allium victorialis,LC,,EN,['C'],-,
208,25000,Amaryllidaceae,Allium,Allium vineale,LC,,LC,,LC,
209,25200,Betulaceae,Alnus,Alnus glutinosa,LC,,LC,,LC,
210,25300,Betulaceae,Alnus,Alnus incana,LC,,LC,,LC,
211,25400,Betulaceae,Alnus,Alnus viridis,LC,,EN,['C'],VU,['D']
212,25500,Poaceae,Alopecurus,Alopecurus aequalis,VU,['A'],VU,['A'],VU,['A']
213,25700,Poaceae,Alopecurus,Alopecurus geniculatus,VU,"['A', 'B']",VU,"['A', 'B']",VU,"['A', 'B']"
214,25900,Poaceae,Alopecurus,Alopecurus myosuroides,LC,,LC,,LC,
215,26000,Poaceae,Alopecurus,Alopecurus pratensis,LC,,LC,,LC,
216,26600,Brassicaceae,Alyssoides,Alyssoides utriculata,NT,['D'],-,,-,
217,26700,Brassicaceae,Alyssum,Alyssum alpestre,EN,['D'],-,,-,
218,26800,Brassicaceae,Alyssum,Alyssum alyssoides,LC,,VU,['A'],VU,['A']
219,27200,Brassicaceae,Alyssum,Alyssum montanum,NT,['B'],NT,['B'],EN,['C']
220,27570,Amaranthaceae,Amaranthus,Amaranthus blitum,LC,,LC,,LC,
221,29300,Rosaceae,Amelanchier,Amelanchier ovalis,LC,,LC,,NT,['A']
222,29600,Orchidaceae,Anacamptis,Anacamptis pyramidalis,NT,['B'],NT,['B'],VU,['A']
223,29610,Orchidaceae,Anacamptis,Anacamptis pyramidalis subsp. pyramidalis,NT,['B'],NT,['B'],VU,['A']
224,29620,Orchidaceae,Anacamptis,Anacamptis pyramidalis subsp. tanayensis,VU,['D'],-,,-,
225,29700,Primulaceae,Anagallis,Anagallis arvensis,LC,,LC,,LC,
226,29900,Primulaceae,Anagallis,Anagallis foemina,VU,['A'],VU,['A'],VU,['A']
227,30000,Primulaceae,Anagallis,Anagallis minima,CR,['A'],CR,['A'],CR,['A']
228,30100,Primulaceae,Anagallis,Anagallis tenella,CR,['D'],-,,RE,
229,30300,Boraginaceae,Anchusa,Anchusa arvensis,NT,['B'],EN,['A'],VU,['A']
230,30800,Boraginaceae,Anchusa,Anchusa officinalis,NT,['B'],,,,
231,31000,Ericaceae,Andromeda,Andromeda polifolia,NT,['B'],VU,['A'],EN,['A']
232,31300,Primulaceae,Androsace,Androsace alpina,LC,,-,,-,
233,31400,Primulaceae,Androsace,Androsace brevis,VU,['C'],-,,-,
234,31800,Primulaceae,Androsace,Androsace chamaejasme,LC,,-,,-,
235,32100,Primulaceae,Androsace,Androsace helvetica,LC,,-,,-,
236,32200,Primulaceae,Androsace,Androsace lactea,NT,['B'],NT,['B'],-,
237,32300,Primulaceae,Androsace,Androsace maxima,CR,"['B', 'C']",-,,-,
238,32400,Primulaceae,Androsace,Androsace obtusifolia,LC,,-,,-,
239,32500,Primulaceae,Androsace,Androsace puberula,LC,,-,,-,
240,32600,Primulaceae,Androsace,Androsace pubescens,NT,['B'],-,,-,
241,32800,Primulaceae,Androsace,Androsace septentrionalis,EN,"['A', 'C']",-,,RE,
242,32900,Primulaceae,Androsace,Androsace vandellii,LC,,-,,-,
243,33000,Primulaceae,Androsace,Androsace villosa,VU,"['D', 'D']",VU,"['D', 'D']",-,
244,33100,Primulaceae,Androsace,Androsace vitaliana,LC,,-,,-,
245,33300,Ranunculaceae,Anemone,Anemone baldensis,LC,,-,,-,
246,33400,Ranunculaceae,Anemone,Anemone narcissiflora,LC,,LC,,RE,
247,33600,Ranunculaceae,Anemone,Anemone nemorosa,LC,,LC,,LC,
248,33700,Ranunculaceae,Anemone,Anemone ranunculoides,LC,,LC,,LC,
249,33800,Ranunculaceae,Anemone,Anemone sylvestris,CR,"['B', 'B']",CR,['B'],RE,
250,34100,Apiaceae,Angelica,Angelica sylvestris,LC,,LC,,LC,
251,34200,Pteridaceae,Anogramma,Anogramma leptophylla,EN,['C'],-,,-,
252,34300,Asteraceae,Antennaria,Antennaria carpatica,LC,,-,,-,
253,34400,Asteraceae,Antennaria,Antennaria dioica,LC,,LC,,CR,['A']
254,34600,Asteraceae,Anthemis,Anthemis arvensis,VU,['B'],EN,['B'],VU,['B']
255,34800,Asteraceae,Anthemis,Anthemis cotula,EN,"['B', 'C']",EN,"['B', 'C']",EN,"['B', 'C']"
256,34900,Asteraceae,Anthemis,Anthemis tinctoria,LC,,NE,,NE,
257,35000,Asteraceae,Anthemis,Anthemis triumfettii,VU,"['B', 'B']",-,,-,
258,35100,Asparagaceae,Anthericum,Anthericum liliago,LC,,NT,"['A', 'B']",EN,"['A', 'B']"
259,35200,Asparagaceae,Anthericum,Anthericum ramosum,LC,,LC,,VU,['A']
260,35300,Poaceae,Anthoxanthum,Anthoxanthum alpinum,LC,,NT,['B'],DD,
261,35400,Poaceae,Anthoxanthum,Anthoxanthum odoratum,LC,,LC,,LC,
262,35500,Poaceae,Anthoxanthum,Anthoxanthum odoratum aggr.,LC,,LC,,LC,
263,35600,Apiaceae,Anthriscus,Anthriscus caucalis,VU,"['A', 'A']",EN,['B'],EN,['B']
264,35700,Apiaceae,Anthriscus,Anthriscus cerefolium,VU,['C'],EN,['C'],EN,['C']
265,35800,Apiaceae,Anthriscus,Anthriscus nitida,LC,,LC,,NT,['D']
266,35900,Apiaceae,Anthriscus,Anthriscus sylvestris,LC,,LC,,LC,
267,35980,Apiaceae,Anthriscus,Anthriscus sylvestris subsp. stenophylla,EN,['D'],EN,['D'],-,
268,35930,Apiaceae,Anthriscus,Anthriscus sylvestris subsp. sylvestris,LC,,LC,,LC,
269,36395,Fabaceae,Anthyllis,Anthyllis montana,VU,"['D', 'D']",VU,"['D', 'D']",-,
270,36790,Fabaceae,Anthyllis,Anthyllis vulneraria,LC,,LC,,LC,
271,36900,Fabaceae,Anthyllis,Anthyllis vulneraria subsp. alpestris,LC,,LC,,NT,['A']
272,37000,Fabaceae,Anthyllis,Anthyllis vulneraria subsp. carpatica,LC,,LC,,LC,
273,37200,Fabaceae,Anthyllis,Anthyllis vulneraria subsp. polyphylla,VU,"['B', 'B']",VU,"['B', 'B']",VU,"['B', 'B']"
274,37300,Fabaceae,Anthyllis,Anthyllis vulneraria subsp. valesiaca,LC,,-,,-,
275,37800,Poaceae,Apera,Apera interrupta,EN,['B'],CR,"['A', 'B']",CR,"['A', 'B']"
276,37900,Poaceae,Apera,Apera spica-venti,LC,,LC,,LC,
277,38000,Rosaceae,Aphanes,Aphanes arvensis,LC,,LC,,LC,
278,38050,Rosaceae,Aphanes,Aphanes australis,NT,['B'],-,,DD,
279,38500,Apiaceae,Apium,Apium nodiflorum,CR,"['C', 'D']",CR,"['C', 'D']",CR,"['C', 'D']"
280,38600,Apiaceae,Apium,Apium repens,CR,"['B', 'D']",-,,CR,"['B', 'D']"
281,38700,Asteraceae,Aposeris,Aposeris foetida,LC,,-,,LC,
282,38800,Ranunculaceae,Aquilegia,Aquilegia alpina,NT,['B'],-,,-,
283,38900,Ranunculaceae,Aquilegia,Aquilegia atrata,LC,,LC,,LC,
284,39000,Ranunculaceae,Aquilegia,Aquilegia einseleana,VU,['D'],-,,-,
285,39100,Ranunculaceae,Aquilegia,Aquilegia vulgaris,LC,,LC,,LC,
286,39200,Brassicaceae,Arabidopsis,Arabidopsis thaliana,LC,,LC,,LC,
287,39350,Brassicaceae,Arabis,Arabis alpina,LC,,LC,,LC,
288,39600,Brassicaceae,Arabis,Arabis auriculata,NT,"['B', 'C']",NT,"['B', 'C']",-,
289,39650,Brassicaceae,Arabis,Arabis bellidifolia,LC,,-,,-,
290,39700,Brassicaceae,Arabis,Arabis bellidifolia subsp. bellidifolia,LC,,-,,-,
291,39800,Brassicaceae,Arabis,Arabis bellidifolia subsp. stellulata,LC,,-,,-,
292,40000,Brassicaceae,Arabis,Arabis caerulea,LC,,-,,-,
293,40200,Brassicaceae,Arabis,Arabis ciliata,LC,,LC,,VU,['B']
294,40300,Brassicaceae,Arabis,Arabis collina,VU,['C'],EN,['C'],-,
295,40600,Brassicaceae,Arabis,Arabis hirsuta,LC,,LC,,NT,['A']
296,40605,Brassicaceae,Arabis,Arabis hirsuta aggr.,LC,,LC,,NT,['A']
297,41000,Brassicaceae,Arabis,Arabis nemorensis,CR,"['C', 'D']",CR,"['C', 'D']",RE,
298,41100,Brassicaceae,Arabis,Arabis nova,NT,['B'],NT,['B'],-,
299,41600,Brassicaceae,Arabis,Arabis sagittata,VU,['B'],DD,,VU,['B']
300,41700,Brassicaceae,Arabis,Arabis scabra,EN,"['C', 'D']",-,,EN,"['C', 'D']"
301,41800,Brassicaceae,Arabis,Arabis serpillifolia,NT,['B'],VU,['D'],-,
302,42000,Brassicaceae,Arabis,Arabis subcoriacea,LC,,-,,-,
303,42100,Brassicaceae,Arabis,Arabis turrita,LC,,LC,,LC,
304,42200,Asteraceae,Arctium,Arctium lappa,LC,,LC,,LC,
305,42300,Asteraceae,Arctium,Arctium minus,LC,,LC,,LC,
306,42400,Asteraceae,Arctium,Arctium minus subsp. minus,LC,,NE,,NE,
307,42500,Asteraceae,Arctium,Arctium minus subsp. pubens,DD,,NE,,NE,
308,42600,Asteraceae,Arctium,Arctium nemorosum,LC,,LC,,NT,['C']
309,42800,Asteraceae,Arctium,Arctium tomentosum,NT,['B'],VU,['C'],VU,['B']
310,43000,Ericaceae,Arctostaphylos,Arctostaphylos alpina,LC,,CR(PE),,-,
311,43100,Ericaceae,Arctostaphylos,Arctostaphylos uva-ursi,LC,,NT,['B'],EN,['A']
312,43400,Caryophyllaceae,Arenaria,Arenaria biflora,LC,,-,,-,
313,43505,Caryophyllaceae,Arenaria,Arenaria ciliata aggr.,LC,,LC,,LC,
